product_name,frisch,teigig,file
196,2,2,20230605
227,4,0,20230605
288,2,2,20230605
492,2,2,20230605
906,4,4,20230605
309,8,0,20230605
381,2,0,20230605
113,15,0,20230605
118,6,0,20230605
119,30,0,20230605
123,5,0,20230605
124,12,0,20230605
129,4,0,20230605
140,6,0,20230605
209,6,0,20230605
247,2,0,20230605
268,4,0,20230605
285,6,0,20230605
417,15,0,20230605
418,10,0,20230605
419,8,0,20230605
444,6,0,20230605
458,6,0,20230605
743,5,0,20230605
2113,1,0,20230605
2116,1,0,20230605
2119,2,0,20230605
2124,1,0,20230605
2140,1,0,20230605
2209,1,0,20230605
2368,1,0,20230605
2417,1,0,20230605
2418,1,0,20230605
2419,1,0,20230605
2444,1,0,20230605
2453,1,0,20230605
110,4,0,20230605
116,8,0,20230605
125,2,10,20230605
126,2,8,20230605
127,6,0,20230605
130,2,6,20230605
132,2,10,20230605
133,4,20,20230605
134,2,6,20230605
177,8,0,20230605
198,2,8,20230605
241,4,24,20230605
324,8,0,20230605
363,8,8,20230605
368,8,0,20230605
406,2,5,20230605
415,3,4,20230605
453,3,4,20230605
691,6,0,20230605
2110,1,0,20230605
2324,1,0,20230605
128,2,0,20230605
230,2,0,20230605
269,2,0,20230605
305,2,0,20230605
365,1,0,20230605
425,2,0,20230605
437,2,0,20230605
504,1,0,20230605
509,2,0,20230605
538,2,0,20230605
563,1,0,20230605
805,2,0,20230605
905,1,0,20230605
928,3,0,20230605
929,3,0,20230605
1185,1,0,20230605
357,1,0,20230605
229,2,0,20230606
265,4,0,20230606
266,4,0,20230606
385,2,0,20230606
452,2,0,20230606
499,2,0,20230606
550,2,0,20230606
551,3,0,20230606
693,2,0,20230606
787,2,0,20230606
868,2,0,20230606
2012,0,2,20230606
2272,1,0,20230606
2302,1,0,20230606
206,0,0,20230606
449,0,0,20230606
117,2,6,20230606
196,1,2,20230606
227,6,0,20230606
288,2,2,20230606
492,0,2,20230606
906,1,4,20230606
224,4,0,20230607
229,2,0,20230607
385,2,0,20230607
452,2,0,20230607
499,2,0,20230607
550,2,0,20230607
551,3,0,20230607
693,2,0,20230607
787,2,0,20230607
868,2,0,20230607
870,2,0,20230607
2012,0,3,20230607
2149,1,0,20230607
2272,1,0,20230607
2302,1,0,20230607
206,1,0,20230607
449,1,0,20230607
450,0,0,20230607
117,0,6,20230607
196,1,2,20230607
227,7,0,20230607
288,3,2,20230607
492,0,2,20230607
906,3,4,20230607
102,4,0,20230607
309,8,0,20230607
381,2,0,20230607
113,15,0,20230607
118,6,0,20230607
119,40,0,20230607
123,5,0,20230607
124,12,0,20230607
129,4,0,20230607
140,8,0,20230607
209,5,0,20230607
247,3,0,20230607
268,4,0,20230607
285,6,0,20230607
417,15,0,20230607
418,10,0,20230607
419,8,0,20230607
444,4,0,20230607
458,6,0,20230607
743,5,0,20230607
2113,2,0,20230607
2116,1,0,20230607
2368,1,0,20230607
2418,2,0,20230607
2453,1,0,20230607
110,6,0,20230607
125,2,8,20230607
126,4,6,20230607
127,6,0,20230607
130,8,6,20230607
132,4,8,20230607
133,6,20,20230607
134,2,5,20230607
177,6,0,20230607
198,4,7,20230607
241,10,24,20230607
324,10,0,20230607
363,8,8,20230607
406,3,4,20230607
415,5,4,20230607
453,3,0,20230607
691,2,0,20230607
2110,5,0,20230607
2324,2,0,20230607
245,3,0,20230607
394,2,0,20230607
128,1,0,20230607
230,2,0,20230607
365,1,0,20230607
425,2,0,20230607
437,2,0,20230607
509,1,0,20230607
538,2,0,20230607
563,1,0,20230607
928,1,0,20230607
929,1,0,20230607
557,5,0,20230607
224,3,0,20230609
229,2,0,20230609
385,2,0,20230609
452,2,0,20230609
499,2,0,20230609
550,2,0,20230609
551,3,0,20230609
693,2,0,20230609
787,2,0,20230609
868,2,0,20230609
870,2,0,20230609
2010,0,2,20230609
2012,0,2,20230609
2149,1,0,20230609
2272,1,0,20230609
2302,1,0,20230609
206,0,0,20230609
449,0,0,20230609
450,1,0,20230609
117,0,6,20230609
196,0,2,20230609
227,9,0,20230609
288,0,2,20230609
492,2,2,20230609
906,5,6,20230609
233,2,0,20230609
309,8,0,20230609
381,3,0,20230609
113,18,0,20230609
118,5,0,20230609
119,30,0,20230609
123,5,0,20230609
124,10,0,20230609
129,4,0,20230609
140,9,0,20230609
209,6,0,20230609
247,2,0,20230609
268,3,0,20230609
285,6,0,20230609
417,20,0,20230609
418,10,0,20230609
419,10,0,20230609
444,8,0,20230609
458,8,0,20230609
743,5,0,20230609
2113,1,0,20230609
2124,1,0,20230609
2418,1,0,20230609
110,5,0,20230609
116,6,0,20230609
125,2,8,20230609
126,4,6,20230609
127,6,0,20230609
130,4,6,20230609
132,4,15,20230609
133,4,20,20230609
134,4,12,20230609
177,6,0,20230609
198,4,6,20230609
241,4,24,20230609
324,6,0,20230609
363,6,24,20230609
368,6,0,20230609
406,4,4,20230609
415,4,10,20230609
453,6,0,20230609
691,5,0,20230609
2110,1,0,20230609
2324,1,0,20230609
128,2,0,20230609
230,2,0,20230609
269,2,0,20230609
305,1,0,20230609
329,4,0,20230609
365,2,0,20230609
425,2,0,20230609
437,3,0,20230609
509,3,0,20230609
563,1,0,20230609
905,1,0,20230609
928,2,0,20230609
929,1,0,20230609
557,2,0,20230609
773,2,0,20230609
781,1,0,20230609
782,1,0,20230609
224,1,0,20230610
550,1,0,20230610
2010,0,1,20230610
206,0,0,20230610
449,0,0,20230610
450,0,0,20230610
227,3,0,20230610
288,1,0,20230610
492,1,0,20230610
906,1,0,20230610
815,4,0,20230610
113,10,0,20230610
118,5,0,20230610
119,40,0,20230610
123,4,0,20230610
124,21,0,20230610
129,4,0,20230610
140,6,0,20230610
156,10,0,20230610
209,6,0,20230610
247,2,0,20230610
268,4,0,20230610
285,7,0,20230610
417,12,0,20230610
418,6,0,20230610
419,6,0,20230610
444,6,0,20230610
458,4,0,20230610
743,4,0,20230610
2113,1,0,20230610
2119,2,0,20230610
2124,1,0,20230610
110,9,0,20230610
116,3,0,20230610
125,3,10,20230610
126,3,8,20230610
127,6,0,20230610
130,0,6,20230610
132,2,10,20230610
133,3,20,20230610
134,0,6,20230610
177,4,0,20230610
198,0,8,20230610
241,8,24,20230610
324,6,0,20230610
363,10,8,20230610
368,4,0,20230610
406,2,4,20230610
415,2,4,20230610
453,2,0,20230610
394,2,0,20230610
329,4,0,20230610
437,1,0,20230610
504,4,0,20230610
509,1,0,20230610
538,2,0,20230610
928,3,0,20230610
929,2,0,20230610
224,6,0,20230612
229,2,0,20230612
385,2,0,20230612
452,2,0,20230612
499,2,0,20230612
550,3,0,20230612
551,3,0,20230612
693,2,0,20230612
701,3,0,20230612
703,3,0,20230612
787,2,0,20230612
868,2,0,20230612
870,3,0,20230612
2010,0,2,20230612
2012,0,2,20230612
2149,1,0,20230612
2272,1,0,20230612
2302,1,0,20230612
206,1,0,20230612
449,1,0,20230612
450,1,0,20230612
117,6,6,20230612
196,2,2,20230612
227,4,0,20230612
288,2,2,20230612
492,2,2,20230612
906,4,4,20230612
309,6,0,20230612
381,3,0,20230612
113,12,0,20230612
118,6,0,20230612
119,40,0,20230612
123,5,0,20230612
124,12,0,20230612
129,4,0,20230612
140,8,0,20230612
209,8,0,20230612
247,2,0,20230612
268,4,0,20230612
285,6,0,20230612
417,15,0,20230612
418,10,0,20230612
419,10,0,20230612
444,6,0,20230612
458,6,0,20230612
743,5,0,20230612
2113,1,0,20230612
2116,1,0,20230612
2119,2,0,20230612
2124,1,0,20230612
2140,1,0,20230612
2209,1,0,20230612
2368,1,0,20230612
2417,1,0,20230612
2418,1,0,20230612
2419,1,0,20230612
2444,1,0,20230612
2453,1,0,20230612
110,4,0,20230612
116,6,0,20230612
125,4,10,20230612
126,4,8,20230612
127,6,0,20230612
130,4,6,20230612
132,4,10,20230612
133,6,20,20230612
134,4,6,20230612
177,6,0,20230612
198,4,8,20230612
241,8,24,20230612
324,8,0,20230612
363,8,12,20230612
368,8,0,20230612
406,4,4,20230612
415,4,4,20230612
453,8,0,20230612
691,6,0,20230612
2110,1,0,20230612
2324,1,0,20230612
128,3,0,20230612
230,2,0,20230612
269,3,0,20230612
305,2,0,20230612
329,3,0,20230612
365,2,0,20230612
425,2,0,20230612
437,2,0,20230612
504,1,0,20230612
509,2,0,20230612
538,2,0,20230612
563,2,0,20230612
905,1,0,20230612
928,2,0,20230612
929,2,0,20230612
1185,1,0,20230612
357,2,0,20230612
1623,2,0,20230612
224,5,0,20230613
265,5,0,20230613
266,5,0,20230613
385,2,0,20230613
391,3,0,20230613
452,2,0,20230613
499,2,0,20230613
550,3,0,20230613
551,3,0,20230613
555,3,0,20230613
693,2,0,20230613
703,1,0,20230613
787,3,0,20230613
868,2,0,20230613
870,2,0,20230613
2010,0,2,20230613
2012,0,2,20230613
2149,1,0,20230613
2272,1,0,20230613
2302,1,0,20230613
449,0,0,20230613
117,2,6,20230613
196,0,2,20230613
227,4,0,20230613
288,1,2,20230613
492,1,2,20230613
906,0,4,20230613
815,3,0,20230613
113,15,0,20230613
118,6,0,20230613
119,40,0,20230613
123,5,0,20230613
124,12,0,20230613
129,4,0,20230613
140,8,0,20230613
209,4,0,20230613
247,2,0,20230613
268,4,0,20230613
285,6,0,20230613
369,10,0,20230613
417,12,0,20230613
418,4,0,20230613
419,5,0,20230613
444,6,0,20230613
458,6,0,20230613
743,5,0,20230613
2368,1,0,20230613
110,4,0,20230613
116,6,0,20230613
125,4,10,20230613
126,4,8,20230613
127,6,0,20230613
130,4,6,20230613
132,4,10,20230613
133,4,20,20230613
134,6,6,20230613
177,6,0,20230613
198,4,8,20230613
241,8,24,20230613
324,8,0,20230613
363,8,12,20230613
368,8,0,20230613
406,8,6,20230613
415,5,6,20230613
453,8,0,20230613
691,4,0,20230613
305,1,0,20230613
905,1,0,20230613
928,2,0,20230613
929,1,0,20230613
986,4,0,20230613
565,1,l,20230613
566,1,l,20230613
1843,2,0,20230613
1876,20,0,20230613
1877,20,0,20230613
1904,1,0,20230613
1908,1,0,20230613
1951,1,0,20230613
1977,1,0,20230613
2089,1,0,20230613
224,5,0,20230614
385,2,0,20230614
391,2,0,20230614
452,2,0,20230614
499,2,0,20230614
550,3,0,20230614
551,3,0,20230614
555,2,0,20230614
556,3,0,20230614
693,2,0,20230614
703,1,0,20230614
787,3,0,20230614
868,2,0,20230614
870,3,0,20230614
2012,0,2,20230614
2272,1,0,20230614
2302,1,0,20230614
206,1,0,20230614
449,0,0,20230614
450,0,0,20230614
117,0,6,20230614
196,0,2,20230614
227,2,0,20230614
492,0,2,20230614
906,0,4,20230614
262,4,0,20230614
309,6,0,20230614
381,2,0,20230614
815,2,0,20230614
113,5,0,20230614
118,5,0,20230614
119,25,0,20230614
123,5,0,20230614
124,8,0,20230614
129,4,0,20230614
140,4,0,20230614
247,2,0,20230614
268,3,0,20230614
285,6,0,20230614
417,8,0,20230614
444,3,0,20230614
458,6,0,20230614
743,4,0,20230614
2113,1,0,20230614
2119,1,0,20230614
2124,1,0,20230614
2368,1,0,20230614
2417,1,0,20230614
2444,1,0,20230614
110,4,0,20230614
116,5,0,20230614
125,4,10,20230614
126,4,8,20230614
127,6,0,20230614
130,4,8,20230614
132,4,10,20230614
133,4,20,20230614
134,4,6,20230614
177,6,0,20230614
198,4,8,20230614
241,8,24,20230614
324,8,0,20230614
363,8,12,20230614
368,5,0,20230614
406,4,6,20230614
415,4,6,20230614
453,5,0,20230614
691,6,0,20230614
264,4,0,20230614
128,2,0,20230614
269,2,0,20230614
365,1,0,20230614
437,2,0,20230614
509,5,0,20230614
563,2,0,20230614
928,2,0,20230614
929,2,0,20230614
357,1,0,20230614
557,3,0,20230614
1856,1,0,20230614
1860,1,0,20230614
224,6,0,20230615
229,2,0,20230615
266,3,0,20230615
385,2,0,20230615
452,2,0,20230615
499,2,0,20230615
550,3,0,20230615
551,3,0,20230615
693,2,0,20230615
787,3,0,20230615
868,2,0,20230615
870,3,0,20230615
2010,0,2,20230615
2012,0,2,20230615
2149,1,0,20230615
2272,1,0,20230615
2302,1,0,20230615
206,1,0,20230615
449,1,0,20230615
450,1,0,20230615
117,0,6,20230615
196,0,2,20230615
227,4,0,20230615
288,2,2,20230615
492,4,2,20230615
906,0,4,20230615
106,4,0,20230615
233,2,0,20230615
262,8,0,20230615
815,5,0,20230615
113,12,0,20230615
118,5,0,20230615
